Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclMethod,CountDeclClass
File,"SelecionarQtdJogadores.java",,1,6,,0,,,,,62,13,6,2
File,"Sorte.java",,1,2,,0,,,,,13,0,2,1
File,"SorteOuReves.java",,1,2,,0,,,,,15,1,2,1
File,"Sound.java",,1,28,,4,,,,,167,12,15,2
File,"Sprite.java",,1,27,,2,,,,,116,9,15,1
File,"SubjectObserver.java",,0,0,,0,,,,,6,0,3,1
File,"Tabuleiro.java",,1,7,,1,,,,,33,0,6,1
File,"TelaPrincipal.java",,1,9,,1,,,,,48,6,8,1
File,"Terreno.java",,2,45,,3,,,,,221,1,22,1
File,"Teste.java",,1,8,,1,,,,,49,0,7,1
File,"Time.java",,1,25,,2,,,,,141,9,20,2
File,"VaParaPrisao.java",,1,2,,0,,,,,16,0,2,1
File,"Window.java",,1,13,,1,,,,,109,10,12,1
Package,"br",,0,0,,0,,,,,0,0,0,0
Package,"br.ufc",,0,0,,0,,,,,0,0,0,0
Package,"br.ufc.pds",,1,9,,1,,,,,57,0,8,2
Public Class,"br.ufc.pds.Main",0,1,1,,0,1,0,1,1,6,0,1,
Public Static Method,"br.ufc.pds.Main.main",,,1,1,0,,,,,4,0,,
Public Class,"br.ufc.pds.Teste",0,1,8,,1,1,0,1,3,46,0,7,
Public Static Method,"br.ufc.pds.Teste.esperaQualquer",,,1,1,0,,,,,5,0,,
Public Static Method,"br.ufc.pds.Teste.informaAvancoJogador",,,1,1,0,,,,,6,0,,
Public Static Method,"br.ufc.pds.Teste.nomeJogador",,,1,1,0,,,,,5,0,,
Public Static Method,"br.ufc.pds.Teste.numJogadores",,,1,1,0,,,,,5,0,,
Public Static Method,"br.ufc.pds.Teste.opcaoDoJogadorPropriedadeComDono",,,1,1,0,,,,,7,0,,
Public Static Method,"br.ufc.pds.Teste.opcaoDoJogadorPropriedadeSemDono",,,1,1,0,,,,,7,0,,
Public Static Method,"br.ufc.pds.Teste.pedidoDeCompra",,,2,1,1,,,,,9,0,,
Package,"br.ufc.pds.controller",,1,87,,3,,,,,473,8,48,5
Public Class,"br.ufc.pds.controller.ControlBancoImobiliario",85,1,50,,3,1,0,2,18,203,8,23,
Private Constructor,"br.ufc.pds.controller.ControlBancoImobiliario.ControlBancoImobiliario",,,1,1,0,,,,,6,0,,
Public Method,"br.ufc.pds.controller.ControlBancoImobiliario.adicionarJogador",,,1,1,0,,,,,8,0,,
